...1,ID,DeathOrSampleDate,DateInfo,English,Latin,family,order,location,postal.code,province,Long,Lat,Remark,Surveillance,GenBank,UniqueID,Sample,CT
107,3190821003,2019-08-19,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Utrechtse heuvelrug,3958,Utrecht,5.456098,51.997412,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20190530,brain,20.93
108,3190829003,2019-08-27,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Renkum,NA,Gelderland,5.810541,51.975351,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20190490,brain,19.68
109,3190829004,2019-08-28,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Amersfoort,NA,Utrecht,5.382387,52.199099,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20190494,brain,19.79
110,3190904012,2019-09-03,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Gemert-bakel,NA,Brabant,5.715593,51.577646,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20190450,brain,20.22
111,3190919001,2019-09-18,DateFound,House Sparrow,Passer domesticus,Passeridae,Passeriformes,Vlagtwedde,NA,Groningen,7.133,52.995,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20190643,brain,29.47
112,3190919022,2019-09-19,DateFound,Dunnock,Prunella modularis,Prunellidae,Passeriformes,Vught,NA,Brabant,5.371,51.707,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20190579,brain,17.99
113,3200818010,2020-08-16,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Overbetuwe,NA,Gelderland,5.839492,51.911788,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20200367,brain,13.88
114,3200821004,2020-08-19,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Overbetuwe,NA,Gelderland,5.810703,51.961254,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20200415,brain,21.63
115,3200824016,2020-08-23,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Buren,NA,Gelderland,5.512662,51.946166,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20200342,brain,15.68
116,3200827002,2020-08-25,DateFound,Blue Tit,Cyanistes caeruleus,Paridae,Passeriformes,Ubbergen,NA,Gelderland,5.933292,51.826599,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS20200444,spleen,15.29
